City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Port Blair,IN,83.88,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
7,Jalu,LY,82.2,clear sky,29.0331,21.5482,صاحبة الفخامة
8,Butaritari,KI,81.81,light rain,3.0707,172.7902,Isles Sunset Lodge
10,Lata,PT,76.05,clear sky,40.1629,-8.3327,Casa Maquia
16,North Myrtle Beach,US,78.85,light rain,33.816,-78.68,Avista Resort
23,Havelock,US,85.98,overcast clouds,34.8791,-76.9013,Sherwood Motel
26,Rikitea,PF,76.71,overcast clouds,-23.1203,-134.9692,Pension Maro'i
31,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
33,Atuona,PF,79.7,broken clouds,-9.8,-139.0333,Villa Enata
35,Bandarbeyla,SO,80.58,clear sky,9.4942,50.8122,JABIR HOTEL
39,Arraial Do Cabo,BR,76.71,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
47,Muisne,EC,78.4,overcast clouds,0.6,-80.0333,Quinta Samay
52,Puerto Ayora,EC,75.54,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
53,Sur,OM,84.2,clear sky,22.5667,59.5289,Sur Plaza Hotel
66,Ca Mau,VN,81.54,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
67,Victoria,HK,82.33,scattered clouds,22.2855,114.1577,Mini Hotel Central
73,Lorengau,PG,79.68,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
75,Brokopondo,SR,84.85,light rain,4.75,-55.1667,Matu Island
78,Port-Gentil,GA,78.84,overcast clouds,-0.7193,8.7815,Fengshui Residence
85,Jamestown,US,85.32,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
89,Puerto Leguizamo,CO,82.78,overcast clouds,-0.1934,-74.7819,la casona de juancho
92,Ikom,NG,75.58,overcast clouds,5.9667,8.7063,Reho Farm & Resort
95,Hilo,US,77.79,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
110,Cockburn Town,TC,80.1,clear sky,21.4612,-71.1419,Osprey Beach Hotel
115,Meulaboh,ID,75.13,overcast clouds,4.1363,96.1285,Kost Pria
120,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
126,Hithadhoo,MV,83.17,clear sky,-0.6,73.0833,Scoop Guest House
127,Seka,TH,75.78,overcast clouds,17.9285,103.9552,โรงแรมเสาวลักษณ์วิลล่า
129,Pitimbu,BR,79.68,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
130,Athmallik,IN,84.09,broken clouds,20.7219,84.5348,"Mishra resident and Advocate chamber,Bangalasahi,Athamallik,Angul"
134,Varzea Da Palma,BR,79.79,overcast clouds,-17.5981,-44.7308,Casa Fernandes
135,Trincomalee,LK,81.57,overcast clouds,8.5711,81.2335,Welcombe Hotel
139,Cayenne,GF,86.04,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
147,Sola,VU,80.13,broken clouds,-13.8833,167.55,Leumerus Bungalows
154,Samarai,PG,78.1,overcast clouds,-10.6167,150.6667,Nuli Sapi
160,Keti Bandar,PK,84.88,few clouds,24.1447,67.4497,Haji laloo memon house
165,Labuhan,ID,78.39,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
178,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
179,Dingle,PH,75.67,light rain,10.9995,122.6711,SEGAYA PROPERTY
183,Iracoubo,GF,76.1,light rain,5.4802,-53.2011,Le Gite D Iracoubo
184,Kalawit,PH,76.46,overcast clouds,8.0667,122.5167,Ompoy Pension House
187,Korhogo,CI,86.72,broken clouds,9.45,-5.6333,Hôtel Tchinbota
190,Vanimo,PG,76.91,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
195,Pacific Grove,US,75.25,scattered clouds,36.6177,-121.9166,Lovers Point Inn
198,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
202,Daru,PG,76.96,overcast clouds,-9.0763,143.2092,Daru Lodge
203,Beberibe,BR,86.04,scattered clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
205,Buala,SB,79.97,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
210,Saryagash,KZ,89.56,few clouds,41.4511,69.1701,fatyCentre Paradise
215,Kavaratti,IN,82.85,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
218,Laguna,US,89.46,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
223,Aswan,EG,89.87,clear sky,24.0934,32.907,Nuba Nile
225,Asyut,EG,82.87,clear sky,27.181,31.1837,Florence Hotel Assiut
229,Harper,LR,78.01,overcast clouds,4.375,-7.7169,Screensaver
230,Alofi,NU,76.35,broken clouds,-19.0595,-169.9187,Taloa Heights
232,Aquiraz,BR,86.09,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
233,Abidjan,CI,82.36,few clouds,5.3094,-4.0197,ibis Abidjan Plateau
241,Namatanai,PG,79.02,light rain,-3.6667,152.4333,Seagulls Inn Namatani
249,Botou,CN,76.95,overcast clouds,38.0667,116.5667,Hanting Hotel Huanghua City Hall
251,Manthani,IN,89.76,overcast clouds,18.65,79.6667,Social Welfare Boys Hostel
252,Roma,US,89.94,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
254,Rockport,US,89.85,scattered clouds,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
256,Salalah,OM,83.32,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
257,Caravelas,BR,77.63,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
264,Tabou,CI,77.88,overcast clouds,4.423,-7.3528,hotêl doufoulougou
266,Matagami,CA,81.19,overcast clouds,49.7502,-77.6328,Hôtel Matagami
267,Ukiah,US,89.13,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
268,Galle,LK,80.69,overcast clouds,6.0367,80.217,Amangalla
270,Sao Filipe,CV,76.48,clear sky,14.8961,-24.4956,Hotel Xaguate
276,Rasulnagar,PK,89.83,clear sky,32.3285,73.7814,Aliraza Mehar
277,Dhidhdhoo,MV,82.17,overcast clouds,6.8833,73.1,Dhidhoo beach
280,Nantucket,US,86.11,clear sky,41.2835,-70.0995,Jared Coffin House
283,Sao Jose Da Coroa Grande,BR,78.04,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
292,Auki,SB,77.02,clear sky,-8.7676,160.7034,Auki Motel
294,Hit,IQ,87.71,clear sky,33.6416,42.8251,صالون زيرو
299,Guarapari,BR,78.69,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
301,Padang,ID,76.05,scattered clouds,-0.9492,100.3543,Mercure Padang
303,Fare,PF,80.6,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
304,Mantenopolis,BR,78.84,broken clouds,-18.8625,-41.1228,Deed's Hotel
307,Kapoeta,SS,82.69,few clouds,4.7717,33.5903,Eastgate Hotel
310,Katsina,NG,86.59,light rain,12.9894,7.6006,Katsina Motel
317,Ashland,US,86.88,broken clouds,40.8167,-82.2665,"Holiday Inn Express & Suites Ashland, an IHG Hotel"
322,Sao Joao Da Ponte,BR,82.98,scattered clouds,-15.9292,-44.0078,Hotel da Cidade
324,Fomboni,KM,79.83,scattered clouds,-12.28,43.7425,Pension Paradis
326,Barranco,PA,82.15,broken clouds,9.5167,-82.7,Casa doña Delfina Jiménez
329,Maunabo,PR,84.92,overcast clouds,18.0072,-65.8993,Maunacaribe
334,Taybad,IR,84.38,clear sky,34.74,60.7756,لی پوش jean center
337,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
338,Oistins,BB,81.86,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
343,Ojuelos De Jalisco,MX,77.04,broken clouds,21.8667,-101.5833,Hotel La Paz
345,Mwene-Ditu,CD,75.31,overcast clouds,-7,23.45,Hôtel Kamas
348,Kavieng,PG,81.48,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
356,Zhicheng,CN,77.77,light rain,30.2956,111.5047,Wangjiang Building
361,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
368,Komsomolskiy,UZ,83.62,overcast clouds,40.4272,71.7189,Ikathouse
369,Palu,ID,75.36,moderate rain,-0.8917,119.8707,Hotel Santika Palu
370,Loiza,PR,85.08,scattered clouds,18.4313,-65.8802,Malibu Beachfront
371,Gizo,SB,81.86,few clouds,-8.103,156.8419,Imagination Island
373,Mahajanga,MG,77.36,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
384,Gouyave,GD,83.17,few clouds,12.1646,-61.7296,Rumboat Retreat
385,Namangan,UZ,84.65,few clouds,40.9983,71.6726,Oydin Plaza
394,Chapais,CA,78.8,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
403,Uthal,PK,84.85,clear sky,25.8072,66.6219,Al Madina Hotal
406,Kulhudhuffushi,MV,81.97,overcast clouds,6.6221,73.07,Haajy Guest House 1
409,Foundiougne,SN,80.64,clear sky,14.1333,-16.4667,Cap Marniane
412,Upata,VE,83.44,broken clouds,8.0086,-62.3989,Posada Villa Nela
413,Vung Tau,VN,82.63,overcast clouds,10.346,107.0843,Green hotel
414,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
416,Santa Vitoria,BR,86.18,overcast clouds,-18.8386,-50.1214,Center Hotel
417,Barahona,DO,87.62,scattered clouds,18.2085,-71.1008,Hotel Caribe
420,Anloga,GH,81.63,light rain,5.7947,0.8973,Pin Drop Hotel
423,Cabra,ES,85.44,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
424,Teofilo Otoni,BR,78.69,broken clouds,-17.8575,-41.5053,Hotel Nobre Palace
427,Ormara,PK,83.95,scattered clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
432,Nageshwari,BD,78.21,heavy intensity rain,25.9377,89.7148,Harun Villa
438,Bubaque,GW,79.63,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
442,Mayumba,GA,76.12,overcast clouds,-3.432,10.6554,LIKWALE LODGE
443,Makakilo City,US,77.68,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
447,Mahibadhoo,MV,83.03,overcast clouds,3.7833,72.9667,Omadhoo Inn
448,Morehead,US,76.84,light intensity drizzle,37.2711,-87.1764,CCI Express Inn
